dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-04-29,29,4,2022,598,2,Lithuania,LT,LTU,2794090,Europe
2022-04-29,29,4,2022,62695,50,Spain,ES,ESP,47332614,Europe
2022-04-29,29,4,2022,7463,41,Greece,EL,GRC,10718565,Europe
2022-04-29,29,4,2022,78281,80,Germany,DE,DEU,83166711,Europe
2022-04-29,29,4,2022,786,20,Poland,PL,POL,37958138,Europe
2022-04-29,29,4,2022,896,5,Croatia,HR,HRV,4058165,Europe
2022-04-29,29,4,2022,940,10,Denmark,DK,DNK,5822763,Europe
2022-04-29,29,4,2022,959,11,Ireland,IE,IRL,4964440,Europe
2022-04-29,29,4,2022,977,4,Slovenia,SI,SVN,2095861,Europe
2022-04-30,30,4,2022,,51,Spain,ES,ESP,47332614,Europe
2022-04-30,30,4,2022,0,0,Hungary,HU,HUN,9769526,Europe
2022-04-30,30,4,2022,0,0,Iceland,IS,ISL,364134,Europe
2022-04-30,30,4,2022,107,0,Norway,NO,NOR,5367580,Europe
2022-04-30,30,4,2022,12,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-30,30,4,2022,1248,6,Finland,FI,FIN,5525292,Europe
2022-04-30,30,4,2022,136,0,Malta,MT,MLT,514564,Europe
2022-04-30,30,4,2022,142,1,Estonia,EE,EST,1328976,Europe
2022-04-30,30,4,2022,1605,6,Netherlands,NL,NLD,17407585,Europe
2022-04-30,30,4,2022,177,9,Sweden,SE,SWE,10327589,Europe
2022-04-30,30,4,2022,2406,17,Belgium,BE,BEL,11522440,Europe
2022-04-30,30,4,2022,263,10,Bulgaria,BG,BGR,6951482,Europe
2022-04-30,30,4,2022,271,5,Lithuania,LT,LTU,2794090,Europe
2022-04-30,30,4,2022,33910,34,Germany,DE,DEU,83166711,Europe
2022-04-30,30,4,2022,4445,7,Austria,AT,AUT,8901064,Europe
2022-04-30,30,4,2022,465,2,Luxembourg,LU,LUX,626108,Europe
2022-04-30,30,4,2022,485,5,Latvia,LV,LVA,1907675,Europe
2022-04-30,30,4,2022,489,0,Slovenia,SI,SVN,2095861,Europe
2022-04-30,30,4,2022,49482,61,France,FR,FRA,67320216,Europe
2022-04-30,30,4,2022,54017,130,Italy,IT,ITA,59641488,Europe
2022-04-30,30,4,2022,602,9,Czechia,CZ,CZE,10693939,Europe
2022-04-30,30,4,2022,6497,39,Greece,EL,GRC,10718565,Europe
2022-04-30,30,4,2022,721,0,Ireland,IE,IRL,4964440,Europe
2022-04-30,30,4,2022,774,17,Poland,PL,POL,37958138,Europe
2022-04-30,30,4,2022,797,6,Croatia,HR,HRV,4058165,Europe
2022-04-30,30,4,2022,833,12,Slovakia,SK,SVK,5457873,Europe
2022-04-30,30,4,2022,887,8,Romania,RO,ROU,19328838,Europe
2022-04-30,30,4,2022,8964,21,Portugal,PT,PRT,10295909,Europe
2022-04-30,30,4,2022,934,15,Denmark,DK,DNK,5822763,Europe
2022-05-01,1,5,2022,,59,Spain,ES,ESP,47332614,Europe
